seed,cubeA_x,cubeA_y,cubeA_z,cubeA_theta,cubeB_x,cubeB_y,cubeB_z,cubeB_theta,separation,relative_yaw,relative_yaw_mod90,face_gap,dist_A,dist_B,dist_max,dist_min
0,-0.08305319398641586,-0.09354343265295029,0.019999999552965164,2.862795077708319,-0.03926411643624306,0.1072758361697197,0.019999999552965164,2.524064354835432,0.205537981996435,-0.3387307228728873,-0.3387307228728873,0.1580581799162992,0.5401090428983306,0.5856448690536377,0.5856448690536377,0.5401090428983306
1,0.03214016556739807,0.049735959619283676,0.019999999552965164,-2.7048580003553955,-0.042617373168468475,0.07580563426017761,0.019999999552965164,-2.9866121538442876,0.07917270700011877,-0.2817541534888921,-0.2817541534888921,0.023827442196318632,0.6490485802849048,0.5773806072982985,0.6490485802849048,0.5773806072982985
2,0.05036187916994095,-0.03401299566030502,0.019999999552965164,-2.424321844285867,0.06565778702497482,0.023817114531993866,0.019999999552965164,-2.9328089537602153,0.05981878001065484,-0.5084871094743484,-0.5084871094743484,0.00518007262703973,0.6662306763624316,0.6810743556928025,0.6810743556928025,0.6662306763624316
3,-0.14197880029678345,-0.2681041955947876,0.019999999552965164,2.8339136244863488,-0.044774129986763,0.018593616783618927,0.019999999552965164,2.522503105109478,0.30272823382143227,-0.3114105193768708,-0.3114105193768708,0.25743431684650814,0.5437176795582414,0.5705289347767115,0.5705289347767115,0.5437176795582414
4,-0.06978090852499008,-0.1041802391409874,0.019999999552965164,-2.3965385612442525,-0.0866333618760109,-0.1725967675447464,0.019999999552965164,1.3498055850156898,0.07046152526571288,-2.5368411609196437,0.6047514926701494,0.02234143270515849,0.5550832189287553,0.5558425572492104,0.5558425572492104,0.5550832189287553
5,0.14754430949687958,0.05319301038980484,0.019999999552965164,0.2090078833089959,0.15007105469703674,-0.22811973094940186,0.019999999552965164,-2.7358792599179713,0.28132408869680164,-2.9448871432269677,0.19670551036282546,0.2315742669498297,0.7643973575964289,0.7983560173153726,0.7983560173153726,0.7643973575964289
6,0.1118054911494255,0.05398695170879364,0.019999999552965164,-2.763915583527278,-0.03862929716706276,-0.009553104639053345,0.019999999552965164,2.9201245393199566,0.16330328930096358,-0.5991451843323521,-0.5991451843323521,0.11496532726139501,0.7288078024553286,0.5764498667641261,0.7288078024553286,0.5764498667641261
7,0.03882685303688049,0.0025167427957057953,0.019999999552965164,2.2953491794705587,-0.04646318033337593,-0.090214803814888,0.019999999552965164,-2.8215571248802336,0.12599019616260698,1.1662790028287944,-0.4045173239661022,0.07685025129088496,0.6538316968046213,0.575649916306776,0.6538316968046213,0.575649916306776
8,0.10886749625205994,-0.012328647077083588,0.019999999552965164,-2.6486664179286556,0.022345826029777527,0.12679758667945862,0.019999999552965164,-2.00726877390455,0.16383561376371567,0.6413976440241056,0.6413976440241056,0.11493005795583439,0.7239724771488052,0.6498363870585536,0.7239724771488052,0.6498363870585536
9,0.027136191725730896,0.071353979408741,0.019999999552965164,2.390372422237558,0.11474977433681488,0.13281798362731934,0.019999999552965164,-2.7103806245158433,0.1070231922179985,1.1824322604261859,-0.3883640663687107,0.060060766639457364,0.6460884452623245,0.7417380601799123,0.7417380601799123,0.6460884452623245
